node;pid;tid;core_id;sample_count;
lbw-Lenovo-G5000-IRH8;87115;87115;1;1221;
lbw-Lenovo-G5000-IRH8;87115;87115;2;1942;
lbw-Lenovo-G5000-IRH8;87115;87115;3;49;
lbw-Lenovo-G5000-IRH8;87115;87115;9;2;
lbw-Lenovo-G5000-IRH8;87115;87115;13;3;
lbw-Lenovo-G5000-IRH8;87115;87140;13;3191;
lbw-Lenovo-G5000-IRH8;87115;87141;14;3196;
lbw-Lenovo-G5000-IRH8;87115;87142;16;3197;
lbw-Lenovo-G5000-IRH8;87115;87139;11;3014;
lbw-Lenovo-G5000-IRH8;87115;87136;3;783;
lbw-Lenovo-G5000-IRH8;87115;87136;4;1257;
lbw-Lenovo-G5000-IRH8;87115;87137;7;787;
lbw-Lenovo-G5000-IRH8;87115;87137;8;1276;
lbw-Lenovo-G5000-IRH8;87115;87138;9;3012;
