group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x143dd,0x143e3,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x143d0,0x143d6,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x1454b,0x14555,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x1450e,0x14513,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x144a3,0x144bb,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x144f3,0x144f8,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x143ef,0x14417,;Success;64;Success;64;64;0;64;64;1;
5;LLSLL;MOV,MOV,VMOVAPD,MOV,CMP,;-128,-160,-112,-136,-168,;0x1444a,0x14519,0x14550,0x1455b,0x14591,;Success;0;Success;64;64;0;88;0;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x143ea,0x14400,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x14520,0x14530,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x14460,0x1447c,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x144ad,0x144b4,;Success;64;Success;64;64;0;64;64;1;
4;LLLL;VMOVUPD,VUNPCKHPD,VMOVUPD,VUNPCKLPD,;0,32,0,32,;0x14411,0x1441e,0x14439,0x14459,;Success;64;Success;128;64;64;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x14434,0x14476,;Success;64;Success;64;64;0;64;64;1;
1;S;VMOVUPD,;0,;0x14588,;Success;32;Success;32;32;0;32;32;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0x14483,0x144d2,;Success;64;Success;64;64;0;64;64;1;
