node;pid;tid;core_id;sample_count;
lbw-Lenovo-G5000-IRH8;69525;69525;1;245;
lbw-Lenovo-G5000-IRH8;69525;69525;2;337;
lbw-Lenovo-G5000-IRH8;69525;69525;3;214;
lbw-Lenovo-G5000-IRH8;69525;69525;4;665;
lbw-Lenovo-G5000-IRH8;69525;69525;5;123;
lbw-Lenovo-G5000-IRH8;69525;69525;6;449;
lbw-Lenovo-G5000-IRH8;69525;69525;7;73;
lbw-Lenovo-G5000-IRH8;69525;69525;8;1174;
lbw-Lenovo-G5000-IRH8;69525;69525;9;1;
lbw-Lenovo-G5000-IRH8;69525;69525;10;14;
lbw-Lenovo-G5000-IRH8;69525;69525;11;6;
lbw-Lenovo-G5000-IRH8;69525;69525;12;23;
lbw-Lenovo-G5000-IRH8;69525;69525;13;51;
lbw-Lenovo-G5000-IRH8;69525;69525;14;109;
lbw-Lenovo-G5000-IRH8;69525;69525;15;103;
lbw-Lenovo-G5000-IRH8;69525;69525;16;297;
lbw-Lenovo-G5000-IRH8;69518;69518;1;389;
lbw-Lenovo-G5000-IRH8;69518;69518;2;361;
lbw-Lenovo-G5000-IRH8;69518;69518;3;219;
lbw-Lenovo-G5000-IRH8;69518;69518;4;963;
lbw-Lenovo-G5000-IRH8;69518;69518;5;147;
lbw-Lenovo-G5000-IRH8;69518;69518;6;459;
lbw-Lenovo-G5000-IRH8;69518;69518;7;81;
lbw-Lenovo-G5000-IRH8;69518;69518;8;696;
lbw-Lenovo-G5000-IRH8;69518;69518;9;7;
lbw-Lenovo-G5000-IRH8;69518;69518;10;14;
lbw-Lenovo-G5000-IRH8;69518;69518;11;10;
lbw-Lenovo-G5000-IRH8;69518;69518;12;24;
lbw-Lenovo-G5000-IRH8;69518;69518;13;66;
lbw-Lenovo-G5000-IRH8;69518;69518;14;121;
lbw-Lenovo-G5000-IRH8;69518;69518;15;172;
lbw-Lenovo-G5000-IRH8;69518;69518;16;153;
lbw-Lenovo-G5000-IRH8;69530;69530;1;166;
lbw-Lenovo-G5000-IRH8;69530;69530;2;294;
lbw-Lenovo-G5000-IRH8;69530;69530;3;97;
lbw-Lenovo-G5000-IRH8;69530;69530;4;474;
lbw-Lenovo-G5000-IRH8;69530;69530;5;117;
lbw-Lenovo-G5000-IRH8;69530;69530;6;824;
lbw-Lenovo-G5000-IRH8;69530;69530;7;106;
lbw-Lenovo-G5000-IRH8;69530;69530;8;1351;
lbw-Lenovo-G5000-IRH8;69530;69530;9;5;
lbw-Lenovo-G5000-IRH8;69530;69530;10;5;
lbw-Lenovo-G5000-IRH8;69530;69530;11;20;
lbw-Lenovo-G5000-IRH8;69530;69530;12;12;
lbw-Lenovo-G5000-IRH8;69530;69530;13;53;
lbw-Lenovo-G5000-IRH8;69530;69530;14;79;
lbw-Lenovo-G5000-IRH8;69530;69530;15;126;
lbw-Lenovo-G5000-IRH8;69530;69530;16;156;
lbw-Lenovo-G5000-IRH8;69529;69529;1;321;
lbw-Lenovo-G5000-IRH8;69529;69529;2;398;
lbw-Lenovo-G5000-IRH8;69529;69529;3;194;
lbw-Lenovo-G5000-IRH8;69529;69529;4;451;
lbw-Lenovo-G5000-IRH8;69529;69529;5;207;
lbw-Lenovo-G5000-IRH8;69529;69529;6;1220;
lbw-Lenovo-G5000-IRH8;69529;69529;7;87;
lbw-Lenovo-G5000-IRH8;69529;69529;8;224;
lbw-Lenovo-G5000-IRH8;69529;69529;9;8;
lbw-Lenovo-G5000-IRH8;69529;69529;10;5;
lbw-Lenovo-G5000-IRH8;69529;69529;11;21;
lbw-Lenovo-G5000-IRH8;69529;69529;12;71;
lbw-Lenovo-G5000-IRH8;69529;69529;13;73;
lbw-Lenovo-G5000-IRH8;69529;69529;14;219;
lbw-Lenovo-G5000-IRH8;69529;69529;15;248;
lbw-Lenovo-G5000-IRH8;69529;69529;16;129;
