metric;help;value;color;details;
user_time;"Percentage of the application time spent in user code (meaning the time spent in the binary and external libraries specified in custom_categories).";81.31;;;
compilation_flags;;"+ mg_omp_cpp_intel: clang based Intel(R) oneAPI DPC++/C++ Compiler 2025.3.1 (2025.3.1.20251023) ";;;
__name;;"run_2";;;
speedup_if_fp_vect;"Optimistic speedup if all floating point instructions are vectorized in all analyzed loops. Memory instructions are not considered as vectorized.\nLower is better.";1.0293;good;;
average_active_threads_count;"Sum over all threads of their active time divided by the application walltime.";5.8733975259135;;;
activity_ratio;"Sum over all threads of their CPU time divided by the sum of their walltime.";74.318852872021;;;
experiment_type;;"OpenMP; ";;;
nb_loops_80_if_fp_vect;"Number of loops to optimize to get 80% of the speedup.\nLower is better.";3;;;
nb_loops_80_if_FP_only;"Number of loops to optimize to get 80% of the speedup.\nLower is better.";6;;;
speedup_if_clean;"Optimistic speedup if all instructions performing addresses computations and scalar integer computations have been deleted. \nLower is better.";1.023;good;;
profiled_time;"Application profiling duration in seconds. A too low value means the profiling does not last long enough, and it could lead to an inaccurate profile.";23.594947814941;good;99.55% of the total time;
array_access_efficiency;"Processor friendly data layout. Accessing contiguous data is faster.\nHigher is better.";97.399789429519;good;;
speedup_if_perfect_MPI_OMP_PTHREAD;"Optimistic speedup if OpenMP, MPI, Pthread and TBB runtimes are perfect.\nLower is better.\nThis metric presents an estimation of the speed-up at application level if the MPI/OpenMP/Pthread/TBB behaviour is perfect.\nspeedup = MAX (time) / MAX (time without OpenMP, MPI, Pthread and TBB)";1.3259352020332;acceptable;;
speedup_if_FP_only;"Optimistic speedup if only arithmetic floating point instructions are kept.\nLower is better.";1.117;acceptable;;
nb_threads;;8;;;
compilation_options;"Global score based on basic options to use with the compiler to have good performance. Related report is based on the hottest profiled function, so it may not be fully representative of how each module was really compiled.";16.67;medium;;
GFlops;"Giga FLOP (FLoating point OPeration) per second. Higher is better.\n";0;;;
iterations_count;"Optimistic speedup available by increasing the number of iterations in loops. Having low iteration count loops can decrease performances.\nLower is better.";"Not Available";bad;;
speedup_if_fully_vect;;;;;
speedup_if_perfect_openmp;"Optimistic speedup if OpenMP is perfectly balanced.\nLower is better.";"Not Available";bad;;
nb_loops_80_if_L1;"Number of loops to optimize to get 80% of the speedup.\nLower is better.";"Not Available";bad;;
loops_time;"Percentage of the application time spent in loops (excluding loops present in modules not analyzed by the profiler). It represents 19.49 seconds.";82.594599792269;;;
affinity_stability;"Sum over all threads of the max time spent on the same CPU divided by the sum over all threads of the thread walltime.";84.597777009172;;;
average_active_time;"Sum of threads CPU time divided by thread count.";17.401257038116;;;
speedup_if_L1;"Optimistic speedup if all memory accesses are located in the L1 cache for all analyzed loops.\nLower is better.";"Not Available";bad;;
speedup_if_perfect_MPI_OMP_PTHREAD_LOAD_DISTRIBUTION;"Optimistic speedup if OpenMP, MPI, Pthread and TBB runtimes are perfect and the load distribution if perfect.\nLower is better.\nThis metric presents an estimation of the speed-up at application level if most common parallel bottelnecks are perfect.\nspeedup = MAX (time) / AVG (time without OpenMP, MPI, Pthread and TBB)";1.6254853827284;acceptable;;
total_power;"Average power spent during the execution (W).";"Not Available";;;
nb_loops_80_if_perfect_openmp;"Number of loops to optimize to get 80% of the speedup.\nLower is better.";"Not Available";bad;;
application_time;"Time spent by the application in seconds";23.701793670654;;;
total_dram_read_throughput;"DRAM average read throughput";"0.00 B/s";;;
total_dram_write;"Total written memory traffic during the execution.";"0.00 B";;;
innerloops_time;"Percentage of the application time spent in innermost loops (excluding loops present in modules not analyzed by the profiler). It represents 19.47 seconds.";82.497624043376;;;
total_energy;"Total energy spent during the execution (kJ).";"Not Available";;;
total_dram_read;"Total read memory traffic during the execution.";"0.00 B";;;
total_dram_write_throughput;"DRAM average written throughput";"0.00 B/s";;;
number_processes;;1;;;
crest_performance;"<TBD>.\n";"Not Implemented Yet";;;
flow_complexity;"Optimistic speedup available by reducing the number of paths in loops. Having multiple paths in a loop can prevent the compiler to vectorize the code, decreasing performances. The metric provides an estimation of a global speedup that can be achieved if all loops with more than two paths were fully vectorized.\nLower is better.";1.0237765181882;good;;
speedup_if_fully_vectorised;"Optimistic speedup if all instructions are vectorized in all analyzed loops.\nLower is better.";1.1349;acceptable;;
nb_loops_80_if_fully_vect;"Number of loops to optimize to get 80% of the speedup.\nLower is better.";6;;;
nb_loops_80_if_clean;"Number of loops to optimize to get 80% of the speedup.\nLower is better.";1;;;
GBs;"<TBD>.\n";"Not Implemented Yet";;;
